#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    1.9577500000E+03    1.3477391052E+02    4.5736134276E-03    2.9721798356E-09    7.4248664856E+01    1.3476934814E+02    1.0351979733E+00    3.1429883839E-15    1.5385769612E-01
    1.9700000000E+03    1.8261627197E+02    4.5736134276E-03    3.0429954112E-09    1.8913285828E+02    1.8261169434E+02    1.4868620634E+00    3.1429883839E-15    1.5385769612E-01
    1.9822500000E+03    1.5790367126E+02    4.5736134276E-03    3.1148306157E-09    9.1565971375E+01    1.5789910889E+02    1.3615508080E+00    3.1429883839E-15    1.5385769612E-01
    1.9945000000E+03    1.1996976471E+02    4.5736134276E-03    3.1876883355E-09    3.2063488007E+01    1.1996519470E+02    1.0945400000E+00    3.1429883839E-15    1.5385769612E-01
    2.0067500000E+03    1.4928041077E+02    4.5736134276E-03    3.2615714574E-09    6.5313011169E+01    1.4927583313E+02    1.4398123026E+00    3.1429883839E-15    1.5385769612E-01
    2.0190000000E+03    1.6615794373E+02    4.5736134276E-03    3.3364819796E-09    4.8104366302E+01    1.6615336609E+02    1.6927419901E+00    3.1429883839E-15    1.5385769612E-01
    2.0312500000E+03    1.6460795593E+02    4.5736134276E-03    3.4124227888E-09    1.3575444336E+04    1.6460337830E+02    1.7697753906E+00    3.1429883839E-15    1.5385769612E-01
    2.0435000000E+03    1.5183065796E+02    4.5736134276E-03    3.1949090595E-10    1.2838619995E+02    1.5182608032E+02    1.7213264704E+00    3.1429883839E-15    1.5385769612E-01
    2.0557500000E+03    1.7229203796E+02    4.5736134276E-03    3.2528854610E-10    3.7607702637E+03    1.7228747559E+02    2.0580437183E+00    3.1429883839E-15    1.5385769612E-01
    2.0680000000E+03    1.7543980408E+02    4.5736134276E-03    3.3115590825E-10    1.1516535156E+04    1.7543524170E+02    2.2062520981E+00    3.1429883839E-15    1.5385769612E-01
    2.0802500000E+03    1.3358709717E+02    4.5736134276E-03    3.3709340874E-10    9.3388427734E+01    1.3358253479E+02    1.7671984434E+00    3.1429883839E-15    1.5385769612E-01
    2.0925000000E+03    1.4256170654E+02    4.5736134276E-03    3.4310143615E-10    5.0906127930E+01    1.4255712891E+02    1.9823865891E+00    3.1429883839E-15    1.5385769612E-01
