Time 	 	 Temperature 	 	 Tau 
0.1 	 	 74985.2 	 	 	 1679.84 
0.1 	 	 69170.6 	 	 	 1431.71 
0.1 	 	 182924 	 	 	 71823.1 
0.1 	 	 37894.9 	 	 	 37.6481 
0.1 	 	 44634 	 	 	 162.908 
0.1 	 	 64381.4 	 	 	 652.161 
0.1 	 	 187036 	 	 	 64149.4 
0.1 	 	 46517.5 	 	 	 201.95 
0.1 	 	 116120 	 	 	 11119 
0.1 	 	 87974.7 	 	 	 1058.42 
0.1 	 	 59814.2 	 	 	 714.103 
0.1 	 	 46648.5 	 	 	 122.965 
0.1 	 	 64815.7 	 	 	 614.098 
0.1 	 	 146563 	 	 	 27679.2 
0.1 	 	 127625 	 	 	 8549.13 
0.1 	 	 179125 	 	 	 53810.8 
0.1 	 	 161116 	 	 	 40415.9 
0.1 	 	 54754.3 	 	 	 280.392 
0.1 	 	 75749.5 	 	 	 2107.58 
0.1 	 	 56997.3 	 	 	 364.093 
0.1 	 	 148354 	 	 	 13270.9 
0.1 	 	 41519.5 	 	 	 148.758 
0.1 	 	 84942.1 	 	 	 3267.61 
0.1 	 	 45468 	 	 	 161.551 
0.1 	 	 66377.2 	 	 	 479.302 
0.1 	 	 108841 	 	 	 4548.95 
0.1 	 	 58984 	 	 	 295.581 
0.1 	 	 207748 	 	 	 86160.8 
0.1 	 	 56725.2 	 	 	 443.196 
0.1 	 	 40269.2 	 	 	 101.177 
0.1 	 	 50688.7 	 	 	 271.482 
0.1 	 	 166372 	 	 	 30588.2 
0.1 	 	 95479.6 	 	 	 3876.68 
0.1 	 	 69508.4 	 	 	 1337.15 
0.1 	 	 137254 	 	 	 14518.5 
0.1 	 	 58433.5 	 	 	 291.574 
0.1 	 	 191508 	 	 	 42360 
0.1 	 	 54659.9 	 	 	 31.508 
0.1 	 	 80055.5 	 	 	 2210.81 
0.1 	 	 90832.5 	 	 	 2379.12 
0.1 	 	 144848 	 	 	 24154.9 
0.1 	 	 43259.7 	 	 	 183.457 
0.1 	 	 107126 	 	 	 5253.68 
0.1 	 	 100692 	 	 	 6070.92 
0.1 	 	 60897.4 	 	 	 811.557 
0.1 	 	 48515.1 	 	 	 233.65 
0.1 	 	 108841 	 	 	 6071.56 
0.1 	 	 148354 	 	 	 13387.9 
0.1 	 	 36822.5 	 	 	 38.5631 
0.1 	 	 221946 	 	 	 100457 
0.1 	 	 60482.8 	 	 	 622.392 
0.1 	 	 85180.3 	 	 	 1996.6 
0.1 	 	 84472.8 	 	 	 3244.74 
0.1 	 	 148354 	 	 	 22569.1 
0.1 	 	 134597 	 	 	 15039.9 
0.1 	 	 196399 	 	 	 75307.5 
0.1 	 	 201782 	 	 	 95885.6 
0.1 	 	 140114 	 	 	 23454.6 
0.1 	 	 70801.3 	 	 	 598.761 
0.1 	 	 57274.2 	 	 	 395.003 
0.1 	 	 214418 	 	 	 79346 
0.1 	 	 100253 	 	 	 2351.65 
0.1 	 	 214418 	 	 	 101790 
0.1 	 	 221946 	 	 	 142049 
0.1 	 	 148354 	 	 	 22441 
0.1 	 	 53571 	 	 	 383.163 
0.1 	 	 88245.7 	 	 	 3315.3 
0.1 	 	 111292 	 	 	 6347.23 
0.1 	 	 137254 	 	 	 15112.7 
0.1 	 	 54566 	 	 	 493.781 
0.1 	 	 175601 	 	 	 13893.8 
0.1 	 	 62823 	 	 	 912.902 
0.1 	 	 48125.7 	 	 	 330.149 
0.1 	 	 40207.9 	 	 	 122.575 
0.1 	 	 79865.7 	 	 	 2537.42 
0.1 	 	 161116 	 	 	 15954.4 
0.1 	 	 53658.7 	 	 	 281.992 
0.1 	 	 158705 	 	 	 29292.2 
0.1 	 	 187036 	 	 	 67164.6 
0.1 	 	 81231 	 	 	 1832.45 
0.1 	 	 71293.8 	 	 	 1368.88 
0.1 	 	 93049.9 	 	 	 2799.9 
0.1 	 	 141629 	 	 	 16571.4 
0.1 	 	 137254 	 	 	 22068.9 
0.1 	 	 214418 	 	 	 76126.1 
0.1 	 	 76063.5 	 	 	 818.822 
0.1 	 	 138657 	 	 	 13983.9 
0.1 	 	 123645 	 	 	 7622.64 
